Heat+E2710:E2738Index,Month,Day,HeatIndex,Year
2016.0,8,21,40.0,
2016.0,8,22,41.0,
2016.0,8,23,42.0,
2016.0,8,24,42.0,
2016.0,8,25,38.0,
2016.0,8,26,42.0,
2016.0,8,27,43.0,
2016.0,8,28,41.0,
2016.0,8,29,41.0,
2016.0,8,30,39.0,
2016.0,8,31,41.0,
2016.0,9,1,42.0,
2016.0,9,2,41.0,
2016.0,9,3,40.0,
2016.0,9,4,38.0,
2016.0,9,5,38.0,
2016.0,9,6,39.0,
2016.0,9,7,37.0,
2016.0,9,8,36.0,
2016.0,9,9,38.0,
2016.0,9,10,37.0,
2016.0,9,11,39.0,
2016.0,9,12,36.0,
2016.0,9,13,43.0,
2016.0,9,14,40.0,
2016.0,9,15,42.0,
2016.0,9,16,40.0,
2016.0,9,17,39.0,
2016.0,9,18,39.0,
2016.0,9,19,38.0,
2016.0,9,20,37.0,
2016.0,9,21,36.0,
2016.0,9,22,39.0,
2016.0,9,23,39.0,
2016.0,9,24,40.0,
2016.0,9,25,42.0,
2016.0,9,26,41.0,
2016.0,9,27,40.0,
2016.0,9,28,36.0,
2016.0,9,29,36.0,
2016.0,9,30,37.0,
2016.0,10,1,42.0,
2016.0,10,2,39.0,
2016.0,10,3,43.0,
2016.0,10,4,35.0,
2016.0,10,5,42.0,
2016.0,10,6,37.0,
2016.0,10,7,39.0,
2016.0,10,8,37.0,
2016.0,10,9,39.0,
2016.0,10,10,38.0,
2016.0,10,11,39.0,
2016.0,10,12,35.0,
2016.0,10,13,37.0,
